λ,k,T,x,cu
0.5,1.0001,0.01,0.5,0.03981445402468431
0.5,1.0001,0.01,0.75,0.0596930967908651
0.5,1.0001,0.01,1.5,0.11906058295975852
0.5,1.0001,0.05,0.1,0.017721239179741777
0.5,1.0001,0.05,0.4,0.07080737032945927
0.5,1.0001,0.05,0.5,0.08844574252232451
0.5,1.0001,0.05,0.75,0.1323341310119701
0.5,1.0001,0.05,1.5,0.261069565637447
0.5,1.0001,0.25,0.1,0.03863872467563079
0.5,1.0001,0.25,0.4,0.15367556082226574
0.5,1.0001,0.25,0.5,0.19142879986351746
0.5,1.0001,0.25,0.75,0.28371405929812576
0.5,1.0001,0.25,1.5,0.5327690567414983
0.5,1.0001,1.0,0.1,0.07030637572186516
0.5,1.0001,1.0,0.4,0.2760761188400681
0.5,1.0001,1.0,0.5,0.341307581821377
0.5,1.0001,1.0,0.75,0.49302101420761923
0.5,1.0001,1.0,1.5,0.8185773939583063
0.5,1.5,0.001,0.1,0.00011503426636105818
0.5,1.5,0.001,0.4,0.0009202445563164519
0.5,1.5,0.001,0.5,0.0012860560668176424
0.5,1.5,0.001,0.75,0.00236247768435216
0.5,1.5,0.001,1.5,0.006679680862565429
0.5,1.5,0.01,0.1,0.0006461454426330837
0.5,1.5,0.01,0.4,0.005167505205710521
0.5,1.5,0.01,0.5,0.007220418044740495
0.5,1.5,0.01,0.75,0.01325589380780623
0.5,1.5,0.01,1.5,0.03735841769058301
0.5,1.5,0.05,0.1,0.002149559468262563
0.5,1.5,0.05,0.4,0.017169102670236303
0.5,1.5,0.05,0.5,0.023971640805392935
0.5,1.5,0.05,0.75,0.04389304122662119
0.5,1.5,0.05,1.5,0.12195797915923878
0.5,1.5,0.25,0.1,0.007007172554328811
0.5,1.5,0.25,0.4,0.05562824945079481
0.5,1.5,0.25,0.5,0.0773862739037503
0.5,1.5,0.25,0.75,0.13992757261022992
0.5,1.5,0.25,1.5,0.3640205402312763
0.5,1.5,1.0,0.1,0.018022723524288797
0.5,1.5,1.0,0.4,0.14039677676929452
0.5,1.5,1.0,0.5,0.19313350682586516
0.5,1.5,1.0,0.75,0.33616431249565704
0.5,1.5,1.0,1.5,0.7275869188774671
0.5,2.4,0.001,0.1,3.9500699300365483e-7
0.5,2.4,0.001,0.4,1.1003503825213201e-5
0.5,2.4,0.001,0.5,1.8797685156113353e-5
0.5,2.4,0.001,0.75,4.9737778532787935e-5
0.5,2.4,0.001,1.5,0.0002623968036435942
0.5,2.4,0.01,0.1,6.253246593979078e-6
0.5,2.4,0.01,0.4,0.00017412938423877478
0.5,2.4,0.01,0.5,0.00029740592914362374
0.5,2.4,0.01,0.75,0.0007863194150459218
0.5,2.4,0.01,1.5,0.0041312009588097
0.5,2.4,0.05,0.1,4.29191396460471e-5
0.5,2.4,0.05,0.4,0.0011931953416918217
0.5,2.4,0.05,0.5,0.00203594359866488
0.5,2.4,0.05,0.75,0.005364711346181994
0.5,2.4,0.05,1.5,0.02767745267466104
0.5,2.4,0.25,0.1,0.00028862117433769985
0.5,2.4,0.25,0.4,0.00796072348698651
0.5,2.4,0.25,0.5,0.01351917452296525
0.5,2.4,0.25,0.75,0.035044512613036316
0.5,2.4,0.25,1.5,0.1658100077218032
0.5,2.4,1.0,0.1,0.0013845629699803519
0.5,2.4,1.0,0.4,0.03718985049901802
0.5,2.4,1.0,0.5,0.06216989533770434
0.5,2.4,1.0,0.75,0.15271351335085037
0.5,2.4,1.0,1.5,0.553445338600755
0.5,3.0,0.001,0.1,8.409365204187225e-9
0.5,3.0,0.001,0.4,5.38175161213239e-7
0.5,3.0,0.001,0.5,1.051094984494405e-6
0.5,3.0,0.001,0.75,3.5471130509501236e-6
0.5,3.0,0.001,1.5,2.8362544586602034e-5
0.5,3.0,0.01,0.1,2.656213140550534e-7
0.5,3.0,0.01,0.4,1.6992122663928022e-5
0.5,3.0,0.01,0.5,3.317878861075485e-5
0.5,3.0,0.01,0.75,0.00011187359270459218
0.5,3.0,0.01,1.5,0.0008904766850141854
0.5,3.0,0.05,0.1,2.9545721577095563e-6
0.5,3.0,0.05,0.4,0.00018866950899154578
0.5,3.0,0.05,0.5,0.000368000360568832
0.5,3.0,0.05,0.75,0.0012362237775835894
0.5,3.0,0.05,1.5,0.00964458799720247
0.5,3.0,0.25,0.1,3.219869012260901e-5
0.5,3.0,0.25,0.4,0.002038167341243291
0.5,3.0,0.25,0.5,0.003954646725480515
0.5,3.0,0.25,0.75,0.013045822203914592
0.5,3.0,0.25,1.5,0.09242879836193163
0.5,3.0,1.0,0.1,0.00023406581655482928
0.5,3.0,1.0,0.4,0.014377442219697834
0.5,3.0,1.0,0.5,0.02740163430396436
0.5,3.0,1.0,0.75,0.08501848918841393
0.5,3.0,1.0,1.5,0.44263509810845403
0.5,10.0,0.001,0.1,0.0
0.5,10.0,0.001,0.4,0.0
0.5,10.0,0.001,0.5,0.0
0.5,10.0,0.001,0.75,0.0
0.5,10.0,0.001,1.5,0.0
0.5,10.0,0.01,0.1,1.1102230246251565e-16
0.5,10.0,0.01,0.4,0.0
0.5,10.0,0.01,0.5,0.0
0.5,10.0,0.01,0.75,1.3322676295501878e-15
0.5,10.0,0.01,1.5,1.4857004515533845e-12
0.5,10.0,0.05,0.1,0.0
0.5,10.0,0.05,0.4,8.548717289613705e-15
0.5,10.0,0.05,0.5,7.849276784099857e-14
0.5,10.0,0.05,0.75,4.501177208737772e-12
0.5,10.0,0.05,1.5,4.45039527452451e-9
0.5,10.0,0.25,0.1,0.0
0.5,10.0,0.25,0.4,2.5421775795564372e-11
0.5,10.0,0.25,0.5,2.3456447895142674e-10
0.5,10.0,0.25,0.75,1.3096129736211992e-8
0.5,10.0,0.25,1.5,1.1269376039235723e-5
0.5,10.0,1.0,0.1,2.298161660974074e-14
0.5,10.0,1.0,0.4,2.2582860914610592e-8
0.5,10.0,1.0,0.5,2.0278608736656878e-7
0.5,10.0,1.0,0.75,1.0305741062199836e-5
0.5,10.0,1.0,1.5,0.005380400147117714
3.0,1.0001,0.001,0.6000000000000001,0.015063404317483986
3.0,1.0001,0.001,2.4000000000000004,0.060208265161212804
3.0,1.0001,0.001,3.0,0.0752217824335698
3.0,1.0001,0.001,4.5,0.11262816761236394
3.0,1.0001,0.001,9.0,0.22303767753778736
3.0,1.0001,0.01,0.6000000000000001,0.04572702414851815
3.0,1.0001,0.01,2.4000000000000004,0.18144666277086008
3.0,1.0001,0.01,3.0,0.22571123452564357
3.0,1.0001,0.01,4.5,0.3329508258942938
3.0,1.0001,0.01,9.0,0.6106428934460519
3.0,1.0001,0.05,0.6000000000000001,0.0853179245527903
3.0,1.0001,0.05,2.4000000000000004,0.33297796038034855
3.0,1.0001,0.05,3.0,0.4101099914005941
3.0,1.0001,0.05,4.5,0.58454748497146
3.0,1.0001,0.05,9.0,0.9064905477554417
3.0,1.0001,0.25,0.6000000000000001,0.0791267728332733
3.0,1.0001,0.25,2.4000000000000004,0.37860540869126447
3.0,1.0001,0.25,3.0,0.49863533798587134
3.0,1.0001,0.25,4.5,0.7732755724625053
3.0,1.0001,0.25,9.0,0.998650017700671
3.0,1.0001,1.0,0.6000000000000001,0.008037589356259423
3.0,1.0001,1.0,2.4000000000000004,0.2742467305920653
3.0,1.0001,1.0,3.0,0.4999932174344567
3.0,1.0001,1.0,4.5,0.9331910256852611
3.0,1.0001,1.0,9.0,0.9999999990133565
3.0,1.5,0.001,0.6000000000000001,0.0016831456294130742
3.0,1.5,0.001,2.4000000000000004,0.013449691194028057
3.0,1.5,0.001,3.0,0.018783557368269088
3.0,1.5,0.001,4.5,0.03442513303716044
3.0,1.5,0.001,9.0,0.09612366152951057
3.0,1.5,0.01,0.6000000000000001,0.009083457691420938
3.0,1.5,0.01,2.4000000000000004,0.07188384666708936
3.0,1.5,0.01,3.0,0.09981188467516999
3.0,1.5,0.01,4.5,0.17931512410749673
3.0,1.5,0.01,9.0,0.4514391637674837
3.0,1.5,0.05,0.6000000000000001,0.025319113234773427
3.0,1.5,0.05,2.4000000000000004,0.19457394592319255
3.0,1.5,0.05,3.0,0.2655185787089809
3.0,1.5,0.05,4.5,0.4497743410996956
3.0,1.5,0.05,9.0,0.8616142711587956
3.0,1.5,0.25,0.6000000000000001,0.034836063542694085
3.0,1.5,0.25,2.4000000000000004,0.30161450494038544
3.0,1.5,0.25,3.0,0.4257138210559227
3.0,1.5,0.25,4.5,0.7278631820420169
3.0,1.5,0.25,9.0,0.9981708556590522
3.0,1.5,1.0,0.6000000000000001,0.004691398648607237
3.0,1.5,1.0,2.4000000000000004,0.2434128874428182
3.0,1.5,1.0,3.0,0.4661342561926616
3.0,1.5,1.0,4.5,0.9238673891564249
3.0,1.5,1.0,9.0,0.9999999986913906
3.0,2.4,0.001,0.6000000000000001,2.8988547271069365e-5
3.0,2.4,0.001,2.4000000000000004,0.0008063681581454984
3.0,2.4,0.001,3.0,0.0013763702650242404
3.0,2.4,0.001,4.5,0.003631016142250143
3.0,2.4,0.001,9.0,0.018851997552902122
3.0,2.4,0.01,0.6000000000000001,0.000440828482036415
3.0,2.4,0.01,2.4000000000000004,0.012107942260542237
3.0,2.4,0.01,3.0,0.020510643444650145
3.0,2.4,0.01,4.5,0.05271097457870155
3.0,2.4,0.01,9.0,0.2385159533426282
3.0,2.4,0.05,0.6000000000000001,0.0025324422755079734
3.0,2.4,0.05,2.4000000000000004,0.06648194170505428
3.0,2.4,0.05,3.0,0.10964633590961437
3.0,2.4,0.05,4.5,0.25736174819869684
3.0,2.4,0.05,9.0,0.759719979382983
3.0,2.4,0.25,0.6000000000000001,0.00711932623373801
3.0,2.4,0.25,2.4000000000000004,0.18782646885443188
3.0,2.4,0.25,3.0,0.304705006075088
3.0,2.4,0.25,4.5,0.6372258339319062
3.0,2.4,0.25,9.0,0.9969126201435746
3.0,2.4,1.0,0.6000000000000001,0.0016441507323717852
3.0,2.4,1.0,2.4000000000000004,0.1929517939775075
3.0,2.4,1.0,3.0,0.4059758160803625
3.0,2.4,1.0,4.5,0.9046558334115193
3.0,2.4,1.0,9.0,0.9999999978367553
3.0,3.0,0.001,0.6000000000000001,1.808304113226633e-6
3.0,3.0,0.001,2.4000000000000004,0.00011554472413211059
3.0,3.0,0.001,3.0,0.00022545479075453123
3.0,3.0,0.001,4.5,0.0007583559816894958
3.0,3.0,0.001,9.0,0.005957919342728157
3.0,3.0,0.01,0.6000000000000001,5.486234724283445e-5
3.0,3.0,0.01,2.4000000000000004,0.0034565386092831885
3.0,3.0,0.01,3.0,0.006687957217816343
3.0,3.0,0.01,4.5,0.021850677483092662
3.0,3.0,0.01,9.0,0.14721538566626258
3.0,3.0,0.05,0.6000000000000001,0.0005105269798303391
3.0,3.0,0.05,2.4000000000000004,0.030514318997238443
3.0,3.0,0.05,3.0,0.05722595878931935
3.0,3.0,0.05,4.5,0.168136215033155
3.0,3.0,0.05,9.0,0.6809579659554155
3.0,3.0,0.25,0.6000000000000001,0.002315419987236611
3.0,3.0,0.25,2.4000000000000004,0.13131035024393922
3.0,3.0,0.25,3.0,0.23564314730870728
3.0,3.0,0.25,4.5,0.5727610060229733
3.0,3.0,0.25,9.0,0.9956955394244126
3.0,3.0,1.0,0.6000000000000001,0.0007775512128622708
3.0,3.0,1.0,2.4000000000000004,0.1631782787110868
3.0,3.0,1.0,3.0,0.3670192409048959
3.0,3.0,1.0,4.5,0.8900202668425609
3.0,3.0,1.0,9.0,0.9999999969881181
3.0,10.0,0.001,0.6000000000000001,0.0
3.0,10.0,0.001,2.4000000000000004,1.7763568394002505e-15
3.0,10.0,0.001,3.0,1.532107773982716e-14
3.0,10.0,0.001,4.5,8.752998326144734e-13
3.0,10.0,0.001,9.0,8.739818868619409e-10
3.0,10.0,0.01,0.6000000000000001,1.1102230246251565e-16
3.0,10.0,0.01,2.4000000000000004,1.5413881282455577e-10
3.0,10.0,0.01,3.0,1.4164692752061114e-9
3.0,10.0,0.01,4.5,7.797950174470714e-8
3.0,10.0,0.01,9.0,6.223071533084656e-5
3.0,10.0,0.05,0.6000000000000001,3.900213485508175e-13
3.0,10.0,0.05,2.4000000000000004,3.6747334009046284e-7
3.0,10.0,0.05,3.0,3.209577963070309e-6
3.0,10.0,0.05,4.5,0.00014824361576271095
3.0,10.0,0.05,9.0,0.04710869281158503
3.0,10.0,0.25,0.6000000000000001,4.849320944799729e-10
3.0,10.0,0.25,2.4000000000000004,0.0003293761063100087
3.0,10.0,0.25,3.0,0.0023679229097912646
3.0,10.0,0.25,4.5,0.05629685753604885
3.0,10.0,0.25,9.0,0.9174374954877985
3.0,10.0,1.0,0.6000000000000001,1.7206118196888553e-8
3.0,10.0,1.0,2.4000000000000004,0.010906767684493057
3.0,10.0,1.0,3.0,0.06531784074035263
3.0,10.0,1.0,4.5,0.6107041061885539
3.0,10.0,1.0,9.0,0.9999998878370426
10.0,1.0001,0.001,2.0,0.04795777834446635
10.0,1.0001,0.001,8.0,0.1901454448797908
10.0,1.0001,0.001,10.0,0.2364192497545271
10.0,1.0001,0.001,15.0,0.348179238379963
10.0,1.0001,0.001,30.0,0.633470851614993
10.0,1.0001,0.01,2.0,0.09676655803292711
10.0,1.0001,0.01,8.0,0.38478359756543457
10.0,1.0001,0.01,10.0,0.4772255134636242
10.0,1.0001,0.01,15.0,0.6852359439635065
10.0,1.0001,0.01,30.0,0.9772166061582481
10.0,1.0001,0.05,2.0,0.033169844016437855
10.0,1.0001,0.05,8.0,0.32732246179420765
10.0,1.0001,0.05,10.0,0.499986861963975
10.0,1.0001,0.05,15.0,0.8682197842192675
10.0,1.0001,0.05,30.0,0.9999961276668347
10.0,1.0001,0.25,2.0,3.166746756899652e-5
10.0,1.0001,0.25,8.0,0.15865253106353983
10.0,1.0001,0.25,10.0,0.49999598331352313
10.0,1.0001,0.25,15.0,0.9937901918918595
10.0,1.0001,0.25,30.0,1.0
10.0,1.0001,1.0,2.0,6.661338147750939e-16
10.0,1.0001,1.0,8.0,0.022749830125258774
10.0,1.0001,1.0,10.0,0.49999800194391475
10.0,1.0001,1.0,15.0,0.9999997075959894
10.0,1.0001,1.0,30.0,1.0
10.0,1.5,0.001,2.0,0.009780596558085719
10.0,1.5,0.001,8.0,0.07731447573977179
10.0,1.5,0.001,10.0,0.10728117539392767
10.0,1.5,0.001,15.0,0.19229683176840373
10.0,1.5,0.001,30.0,0.47865198287687305
10.0,1.5,0.01,2.0,0.0349972757333149
10.0,1.5,0.01,8.0,0.26751676851910966
10.0,1.5,0.01,10.0,0.36312613311153585
10.0,1.5,0.01,15.0,0.5990242901477101
10.0,1.5,0.01,30.0,0.9680739278191592
10.0,1.5,0.05,2.0,0.017450661703544812
10.0,1.5,0.05,8.0,0.281492166217589
10.0,1.5,0.05,10.0,0.45377954433021683
10.0,1.5,0.05,15.0,0.8473745010237336
10.0,1.5,0.05,30.0,0.9999948334935731
10.0,1.5,0.25,2.0,2.025962078977539e-5
10.0,1.5,0.25,8.0,0.1454222015969472
10.0,1.5,0.25,10.0,0.4799251373733898
10.0,1.5,0.25,15.0,0.9930391230852539
10.0,1.5,0.25,30.0,1.0
10.0,1.5,1.0,2.0,4.440892098500626e-16
10.0,1.5,1.0,8.0,0.021282563227190687
10.0,1.5,1.0,10.0,0.4900107662712089
10.0,1.5,1.0,15.0,0.9999996764110707
10.0,1.5,1.0,30.0,1.0
10.0,2.4,0.001,2.0,0.0004976953088928759
10.0,2.4,0.001,8.0,0.013649372992753372
10.0,2.4,0.001,10.0,0.023101126002152528
10.0,2.4,0.001,15.0,0.05918615540652772
10.0,2.4,0.001,30.0,0.2636398331168992
10.0,2.4,0.01,2.0,0.005002891048570546
10.0,2.4,0.01,8.0,0.1266751869395073
10.0,2.4,0.01,10.0,0.20438266733917343
10.0,2.4,0.01,15.0,0.4444895107009619
10.0,2.4,0.01,30.0,0.9446992705205373
10.0,2.4,0.05,2.0,0.004971397690824553
10.0,2.4,0.05,8.0,0.20781829383452155
10.0,2.4,0.05,10.0,0.37269555363750206
10.0,2.4,0.05,15.0,0.8047180503987444
10.0,2.4,0.05,30.0,0.9999914075316823
10.0,2.4,0.25,2.0,8.771429568787958e-6
10.0,2.4,0.25,8.0,0.12351670012781513
10.0,2.4,0.25,10.0,0.44395401228504316
10.0,2.4,0.25,15.0,0.9914835691488988
10.0,2.4,0.25,30.0,1.0
10.0,2.4,1.0,2.0,2.220446049250313e-16
10.0,2.4,1.0,8.0,0.01884224625256492
10.0,2.4,1.0,10.0,0.4720501770449588
10.0,2.4,1.0,15.0,0.9999996116623062
10.0,2.4,1.0,30.0,1.0
10.0,3.0,0.001,2.0,6.392788605269484e-5
10.0,3.0,0.001,8.0,0.004020941520093468
10.0,3.0,0.001,10.0,0.00777220549170754
10.0,3.0,0.001,15.0,0.025305579479507512
10.0,3.0,0.001,30.0,0.167478932491536
10.0,3.0,0.01,2.0,0.001280230583418529
10.0,3.0,0.01,8.0,0.0727174357734095
10.0,3.0,0.01,10.0,0.13229855416357617
10.0,3.0,0.01,15.0,0.3507157696775065
10.0,3.0,0.01,30.0,0.9233610605225648
10.0,3.0,0.05,2.0,0.0020280025583581107
10.0,3.0,0.05,8.0,0.16595185522928002
10.0,3.0,0.05,10.0,0.3215918161874638
10.0,3.0,0.05,15.0,0.7727264969222685
10.0,3.0,0.05,30.0,0.9999880279808288
10.0,3.0,0.25,2.0,4.905425269097208e-6
10.0,3.0,0.25,8.0,0.11026110902762842
10.0,3.0,0.25,10.0,0.4202115439197138
10.0,3.0,0.25,15.0,0.9902846745755113
10.0,3.0,0.25,30.0,1.0
10.0,3.0,1.0,2.0,1.1102230246251565e-16
10.0,3.0,1.0,8.0,0.01735103529686044
10.0,3.0,1.0,10.0,0.46010577195985514
10.0,3.0,1.0,15.0,0.9999995614623447
10.0,3.0,1.0,30.0,1.0
10.0,10.0,0.001,2.0,1.1102230246251565e-16
10.0,10.0,0.001,8.0,2.590554437631454e-10
10.0,10.0,0.001,10.0,2.3771136170580576e-9
10.0,10.0,0.001,15.0,1.3020043332367948e-7
10.0,10.0,0.001,30.0,0.0001011139000862693
10.0,10.0,0.01,2.0,1.5933365737907934e-11
10.0,10.0,0.01,8.0,1.3351432319619327e-5
10.0,10.0,0.01,10.0,0.00010876592909592198
10.0,10.0,0.01,15.0,0.003956995714400224
10.0,10.0,0.01,30.0,0.38785403970564203
10.0,10.0,0.05,2.0,6.560452403547856e-9
10.0,10.0,0.05,8.0,0.003588388426783329
10.0,10.0,0.05,10.0,0.022275663543637414
10.0,10.0,0.05,15.0,0.30559855734436725
10.0,10.0,0.05,30.0,0.9996283049666738
10.0,10.0,0.25,2.0,1.6833605620547587e-9
10.0,10.0,0.25,8.0,0.02207754871480805
10.0,10.0,0.25,10.0,0.18277382405353781
10.0,10.0,0.25,15.0,0.9615385132573803
10.0,10.0,0.25,30.0,1.0
10.0,10.0,1.0,2.0,0.0
10.0,10.0,1.0,8.0,0.006151677936608868
10.0,10.0,1.0,10.0,0.3260971820630809
10.0,10.0,1.0,15.0,0.9999981920304277
10.0,10.0,1.0,30.0,1.0
50.0,1.0001,0.001,10.0,0.07405041253694489
50.0,1.0001,0.001,40.0,0.3736864791664073
50.0,1.0001,0.001,50.0,0.49920347357984973
50.0,1.0001,0.001,75.0,0.785355838082302
50.0,1.0001,0.001,150.0,0.9992172509590984
50.0,1.0001,0.01,10.0,3.166746756899652e-5
50.0,1.0001,0.01,40.0,0.15865253106353983
50.0,1.0001,0.01,50.0,0.49999598331352313
50.0,1.0001,0.01,75.0,0.9937901918918595
50.0,1.0001,0.01,150.0,1.0
50.0,1.0001,0.05,10.0,0.0
50.0,1.0001,0.05,40.0,0.012673495669452639
50.0,1.0001,0.05,50.0,0.4999982134855344
50.0,1.0001,0.05,75.0,0.9999999884701827
50.0,1.0001,0.05,150.0,1.0
50.0,1.0001,0.25,10.0,0.0
50.0,1.0001,0.25,40.0,2.866482533558923e-7
50.0,1.0001,0.25,50.0,0.49999920190247105
50.0,1.0001,0.25,75.0,1.0
50.0,1.0001,0.25,150.0,1.0
50.0,1.0001,1.0,10.0,0.0
50.0,1.0001,1.0,40.0,0.0
50.0,1.0001,1.0,50.0,0.49999960103086183
50.0,1.0001,1.0,75.0,1.0
50.0,1.0001,1.0,150.0,1.0
50.0,1.5,0.001,10.0,0.03342023642611902
50.0,1.5,0.001,40.0,0.3016747628170482
50.0,1.5,0.001,50.0,0.43072486929110887
50.0,1.5,0.001,75.0,0.7439014012147398
50.0,1.5,0.001,150.0,0.9989423218230835
50.0,1.5,0.01,10.0,2.025962078977539e-5
50.0,1.5,0.01,40.0,0.1454222015969472
50.0,1.5,0.01,50.0,0.4799251373733898
50.0,1.5,0.01,75.0,0.9930391230852539
50.0,1.5,0.01,150.0,1.0
50.0,1.5,0.05,10.0,0.0
50.0,1.5,0.05,40.0,0.011877816633324212
50.0,1.5,0.05,50.0,0.49106817550197235
50.0,1.5,0.05,75.0,0.9999999872404873
50.0,1.5,0.05,150.0,1.0
50.0,1.5,0.25,10.0,0.0
